rank,recipient_name,amount,fraction,address,scheme_name,scheme_1,counts,latitude,longitude
1,agrarmarkt austria,55069857.76,0.02911011943237773,"WIEN, Austria",Verwaltung EU-Fonds - Technische Hilfe (Artikel 51 bis 54),National _&_ EAFRD,2,,
2,bundesministerium für land-und forstwirtschaft regionen u.wasserwirtschaft,5289867.14,0.0027962422728220683,"WIEN, Austria",Technische Hilfe (Artikel 51 bis 54),National _&_ EAFRD,2,,
3,a1 telekom austria aktiengesellschaft,5009223.38,0.0026478929996651378,"WIEN, Austria",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
4,arge lk beratung,4642201.25,0.002453883817996504,"WIEN, Austria","Beratungs-, Betriebsführungs- und Vertretungsdienste (Artikel 15)",EAFRD _&_ National,2,,
5,"bundesforschungs- und ausbildungszentrum für wald, naturgefahren und landschaft",4128654.47,0.0021824211938316833,"WIEN, Austria","Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20) _&_ Wissenstransfer und Informationsmaßnahmen (Artikel 14) _&_ Investitionen in die Entwicklung von Waldgebieten und Verbesserung der Lebensfähigkeit von Wäldern (Artikel 21, Artikel 22 bis 26)",EAFRD _&_ National,6,,
6,ländliches fortbildungsinstitut (lfi) steiermark,4121656.32,0.0021787219472639233,"GRAZ, Austria",Wissenstransfer und Informationsmaßnahmen (Artikel 14),National _&_ EAFRD,2,,
7,lgv sonnengemüse eingetragene genossenschaft,3277330.16,0.001732408185848447,"WIEN, Austria",Beihilfen im Sektor Obst und Gemüse (Kapitel II Abschnitt 3),EAGF,1,,
8,"ländliches fortbildungsinstitut österreich, kurz lfi österreich",2556144.35,0.001351186844156787,"WIEN, Austria",Wissenstransfer und Informationsmaßnahmen (Artikel 14),EAFRD _&_ National,2,,
9,nahwärme st. anton am arlberg gmbh,2421414.0,0.0012799679098940801,"ST. ANTON AM ARLBERG, Austria",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
10,niederösterreichische glasfaserinfrastrukturgesellschaft mbh,2417061.18,0.0012776669940170163,"ST. PÖLTEN, Austria",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
11,kelag energie & wärme gmbh,2328819.0,0.0012310218690201767,"VILLACH, Austria",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
12,marktgemeinde göstling an der ybbs,2254968.3600000003,0.0011919841624053063,"GÖSTLING AN DER YBBS, Austria",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
13,ländliches fortbildungsinstitut niederösterreich - lfi nö,2251818.12,0.001190318934522563,"ST. PÖLTEN, Austria",Wissenstransfer und Informationsmaßnahmen (Artikel 14),National _&_ EAFRD,2,,
14,bergwald osttirol,2066195.76,0.0010921983057664698,"OBERLIENZ, Austria","Investitionen in die Entwicklung von Waldgebieten und Verbesserung der Lebensfähigkeit von Wäldern (Artikel 21, Artikel 22 bis 26)",National _&_ EAFRD,2,,
15,stadtgemeinde amstetten,1962384.06,0.001037323078039385,"AMSTETTEN, Austria",Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,2,,
16,landwirtschaftskammer oberösterreich - ländliches fortbildungsinstitut,1913207.27,0.0010113280548374045,"LINZ, Austria",Wissenstransfer und Informationsmaßnahmen (Artikel 14) _&_ Basisdienstleistungen und Dorferneuerung in ländlichen Gebieten (Artikel 20),National _&_ EAFRD,4,,
17,"österreichische arbeitsgemeinschaft der heumilchbauern, der verarbeiter und der vermarkter von heumilch, kurz: arge heumilch österreich",1879820.0,0.000993679427135174,"STRASSWALCHEN, Austria",Qualitätsregelungen für Agrarerzeugnisse und Lebensmittel (Artikel 16),National _&_ EAFRD,2,,
18,waldpflegeverein tirol,1808177.59,0.0009558089986221337,"INNSBRUCK, Austria","Investitionen in die Entwicklung von Waldgebieten und Verbesserung der Lebensfähigkeit von Wäldern (Artikel 21, Artikel 22 bis 26) _&_ Investitionen in materielle Vermögenswerte (Artikel 17)",National _&_ EAFRD,4,,
19,arge urlaub am bauernhof und bio austria,1801859.62,0.0009524692975814717,"SALZBURG, Austria",Zusammenarbeit,National _&_ EAFRD,2,,
20,geo - gemüseerzeugerorganisation ostösterreich reggenmbh,1773048.56,0.0009372396704916667,"WALLERN IM BURGENLAND, Austria",Beihilfen im Sektor Obst und Gemüse (Kapitel II Abschnitt 3),EAGF,1,,
102795,123760_anonymisiert,2.0,1.0572069954944345e-09,"KREMS LAND, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102796,100008_anonymisiert,2.0,1.0572069954944345e-09,"BADEN, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102797,135282_anonymisiert,1.97,1.0413488905620179e-09,"ZELL AM SEE, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102798,119703_anonymisiert,1.92,1.014918715674657e-09,"KREMS LAND, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102799,150951_anonymisiert,1.84,9.726304358548797e-10,"EISENSTADT-UMGEBUNG, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102800,206734_anonymisiert,1.84,9.726304358548797e-10,"VILLACH LAND, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102801,188810_anonymisiert,1.78,9.409142259900466e-10,"RETZ, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102802,114507_anonymisiert,1.77,9.356281910125745e-10,"VILLACH LAND, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102803,198308_anonymisiert,1.64,8.669097363054362e-10,"GRAZ, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102804,150095_anonymisiert,1.64,8.669097363054362e-10,"MISTELBACH, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102805,125413_anonymisiert,1.56,8.246214564856588e-10,"ASSLING, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102806,118893_anonymisiert,1.45,7.664750717334649e-10,"KREMS LAND, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102807,207038_anonymisiert,1.44,7.611890367559927e-10,"BADEN, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102808,107989_anonymisiert,1.41,7.453309318235762e-10,"ZEDERHAUS, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102809,172782_anonymisiert,1.4,7.40044896846104e-10,"HORN, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102810,195917_anonymisiert,1.39,7.347588618686319e-10,"FELDKIRCHEN IN KÄRNTEN, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102811,171850_anonymisiert,1.38,7.294728268911597e-10,"BADEN, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102812,100217_anonymisiert,1.2,6.343241972966607e-10,"MATTERSBURG, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102813,206549_anonymisiert,1.2,6.343241972966607e-10,"GOLS, Austria","Außergewöhnliche Maßnahmen (Kapitel I Abschnitte 1, 2 und 3)",EAGF,1,,
102814,104377_anonymisiert,0.03,1.5858104932416516e-11,"HOLLABRUNN, Austria",Agrarumwelt- und Klimamaßnahme (Artikel 28),National _&_ EAFRD,2,,
